@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 {0,1,2}
@attribute outputs-2 numeric
@attribute outputs-3 {0,1,2,3,4,5}
@attribute outputs-4 numeric

@data
59,'2016/09/18 14:56:04:852',1,29.317152,1.596815,0.138947,0.20275,0.156404,0.220338,-0.150666,0.272538,0.275254,0.161743,0.100478,0.320838,0.21713,0.286723,157.44574,1,?,?,?
60,'2016/09/18 14:56:04:934',1,29.156147,1.691297,0.111737,0.207065,0.159406,0.229318,-0.177114,0.280933,0.276607,0.163759,0.08484,0.328369,0.209968,0.29725,157.38446,1,?,?,?
61,'2016/09/18 14:56:05:015',1,28.483099,1.692451,0.125625,0.20831,0.139547,0.235174,-0.175655,0.274313,0.281084,0.164241,0.085918,0.326418,0.206365,0.300584,157.709717,1,?,?,?
62,'2016/09/18 14:56:05:096',1,26.976933,1.669637,0.145962,0.231385,0.143385,0.223724,-0.154342,0.270836,0.290294,0.167167,0.0974,0.318184,0.214025,0.292431,158.186676,1,?,?,?
63,'2016/09/18 14:56:05:735',1,10.43294,1.074758,0.163061,0.347176,0.177933,0.212841,0.127623,0.243515,0.199595,0.138693,0.152541,0.23481,0.234045,0.204881,179.253738,1,?,?,?
64,'2016/09/18 14:56:05:816',1,11.772524,0.970518,0.128431,0.310645,0.162582,0.19125,0.152521,0.230884,0.182475,0.136344,0.13893,0.217891,0.23666,0.197783,203.683884,1,?,?,?
65,'2016/09/18 14:56:05:898',1,13.635111,0.887019,0.086372,0.250568,0.123007,0.193428,0.158424,0.215003,0.152556,0.125749,0.127669,0.202473,0.235666,0.196724,228.932114,1,?,?,?
66,'2016/09/18 14:56:05:979',1,16.577108,0.816446,0.044053,0.200332,0.078139,0.182523,0.161398,0.213865,0.135412,0.116749,0.11025,0.184637,0.234941,0.198232,255.31694,1,?,?,?
67,'2016/09/18 14:56:06:060',1,19.70763,0.774395,0.00981,0.145941,0.045859,0.175618,0.150301,0.210362,0.127998,0.112042,0.094488,0.176116,0.23596,0.201434,281.140747,1,?,?,?
68,'2016/09/18 14:56:06:130',1,23.095045,0.737989,-0.024646,0.104563,0.011267,0.16758,0.141183,0.209401,0.117514,0.110571,0.08325,0.158559,0.236043,0.204112,307.158783,1,?,?,?
69,'2016/09/18 14:56:06:211',1,26.70677,0.708395,-0.052745,0.067038,-0.024155,0.145706,0.115517,0.20311,0.10818,0.111264,0.066564,0.148034,0.237535,0.209723,333.506714,1,?,?,?
70,'2016/09/18 14:56:06:292',1,30.208933,0.681691,-0.09135,0.012372,-0.055935,0.13012,0.089343,0.196111,0.09947,0.113202,0.05569,0.14402,0.241926,0.22493,358.891693,1,?,?,?
71,'2016/09/18 14:56:06:374',1,34.240147,0.64908,-0.139907,-0.029431,-0.087534,0.110663,0.078991,0.200231,0.090634,0.104345,0.039739,0.13339,0.237037,0.235102,385.040558,1,?,?,?
72,'2016/09/18 14:56:06:454',1,38.09631,0.719238,-0.157894,-0.092533,-0.115068,0.101062,0.062863,0.180355,0.086772,0.116074,0.029657,0.127078,0.235365,0.237294,411.491791,1,?,?,?
73,'2016/09/18 14:56:06:536',1,38.792152,0.694133,-0.156799,-0.089453,-0.115284,0.09355,0.055616,0.178169,0.09501,0.121593,0.035492,0.132702,0.232081,0.254615,416.805145,1,?,?,?
74,'2016/09/18 14:56:06:617',1,38.824615,0.68984,-0.15184,-0.086413,-0.125423,0.100594,0.04936,0.182595,0.089291,0.119782,0.042705,0.140816,0.229297,0.250078,418.252747,1,?,?,?
75,'2016/09/18 14:56:06:698',1,39.342728,0.686357,-0.149758,-0.079159,-0.117823,0.092106,0.042781,0.185271,0.095222,0.12574,0.043495,0.144403,0.222615,0.251486,418.980347,1,?,?,?
76,'2016/09/18 14:56:06:780',1,39.422428,0.68707,-0.140716,-0.079677,-0.113723,0.094539,0.029264,0.188232,0.097583,0.136058,0.050542,0.149349,0.223468,0.249574,418.532471,1,?,?,?
